Time,Error,Angle
96,-8.760937,-10.95117
194,5.561719,-3.999022
650,14.07656,14.88136
751,2.559375,10.70751
1300,-8.416407,-1.295146
1397,8.268749,20.05633
1673,8.957813,31.73386
1771,-0.7382813,24.44144
2405,-13.48594,6.11504
2503,-1.870313,11.34058
2777,14.9625,34.43615
2874,8.810156,41.67866
3619,-13.28906,22.973
3719,-5.364843,21.2049
3815,8.514843,41.66679
3911,7.924219,51.92593
4007,-11.71406,24.21273
4643,-11.91094,9.140851
4739,1.18125,19.33516
4925,14.81484,43.1318
5022,11.025,54.76518
5116,-15.30703,17.38526
5753,-5.610937,11.19754
5850,6.841406,28.11682
6036,11.96016,45.26905
6133,4.035937,45.19599
6226,-15.45469,11.96021
6768,-14.81484,-6.67807
6865,-4.577344,-5.58108
7411,6.841406,4.514328
7507,-6.69375,-12.76289
7690,-13.78125,-32.97448
7784,-10.63125,-44.3526
7885,11.36953,-15.8667
8527,9.696095,-3.752059
8626,-3.396094,-16.48658
8810,-14.32266,-38.74906
8905,-6.69375,-42.26635
9004,12.99375,-12.77857
9649,6.349218,-5.392099
9747,-9.253124,-27.40596
9932,-2.657813,-28.76648
10032,1.722656,-23.62825
10135,12.79688,-0.4316864
10682,11.025,13.22932
10782,-6.053906,-5.420924
