Time,Error,Angle
98,-0.8859375,-28.58639
200,4.035937,-23.54147
300,8.810156,-9.433159
399,13.04297,9.871092
496,12.10781,24.60966
592,6.546094,29.01697
687,2.657813,29.40383
782,7.284375,41.39989
878,8.859375,53.76836
973,-1.919531,44.1405
1070,-13.14141,19.68143
1168,-11.22187,6.312744
1265,5.561719,24.61655
1361,1.624219,24.86445
1455,-14.47031,-4.412395
1638,-13.58438,-21.53438
1731,-12.25547,-35.94346
1824,-5.660156,-38.41954
1922,1.870313,-30.71062
2024,4.971094,-22.13406
2122,2.411719,-20.63279
2221,1.082813,-20.2616
2322,7.530469,-6.814971
2422,12.69844,12.70631
2520,12.20625,27.91247
2616,5.414063,30.10257
2712,1.378125,28.75723
2807,4.577344,36.39826
2903,6.349218,45.68781
2998,2.510156,46.31994
3096,-9.400782,26.51194
3194,-13.63359,6.100273
3291,-4.183594,6.976003
3387,3.592969,17.17091
3483,-6.742969,2.219093
3576,-15.25781,-23.20824
3669,-15.01172,-42.30318
3764,0.04921875,-31.92721
3863,5.167969,-21.34981
3961,-0.4429688,-25.26934
4058,-7.185938,-39.04979
4154,-1.378125,-37.22903
4255,12.35391,-12.7057
4448,13.58438,5.062981
4543,15.55313,25.89038
4639,12.20625,38.97981
4734,3.100781,36.49747
4831,0.8367188,35.5513
4928,1.673438,38.0501
5024,2.510156,41.78236
5122,-0.0984375,39.98062
5222,-9.203907,22.50332
5320,-13.73203,1.89827
5416,-12.30469,-12.78481
5512,-5.217188,-14.43364
5606,0.6398437,-9.275082
5700,-5.414063,-19.85883
5793,-11.71406,-39.17036
5887,-7.530469,-46.05074
5984,4.33125,-32.53365
6085,9.00703,-17.6791
6184,5.11875,-13.53678
6283,-0.04921875,-17.14841
6383,6.201563,-5.569673
6480,13.87969,17.13982
6578,13.63359,34.42406
6674,6.103125,37.00087
6770,1.082813,34.58723
6866,2.510156,38.39766
6962,3.100781,42.71855
7060,0.5414063,41.7221
7161,-5.955469,29.98164
7262,-11.32031,12.07084
7360,-11.71406,-3.114287
7456,-8.957813,-12.49716
7551,-4.035937,-14.08905
7646,-1.624219,-14.19403
7740,-6.595312,-25.70085
7833,-10.43438,-41.66284
7927,-4.134375,-42.73331
8025,6.644531,-27.06839
8126,8.465626,-14.7789
8228,3.9375,-12.64142
8327,3.592969,-8.57885
8426,9.00703,6.224496
8523,13.33828,26.02496
8622,10.2375,37.00822
8717,2.608594,34.99321
8814,2.264062,37.1935
8911,4.577344,44.42463
9007,4.183594,49.50595
9108,-3.592969,39.96149
9208,-11.56641,19.961
9305,-12.15703,3.958263
9404,-8.317968,-3.986669
9501,-10.18828,-17.79366
9596,-8.367188,-27.09733
9690,-2.707031,-26.54354
9786,-0.2953125,-24.96863
9882,-2.165625,-28.78623
9978,-2.510156,-32.24092
10075,-0.0984375,-30.77955
10174,5.660156,-19.81768
10277,9.942188,-4.436403
10377,9.302343,6.99436
10475,8.810156,17.66709
10571,7.284375,25.70892
10668,6.004687,32.28066
10762,5.11875,38.00456
10858,3.839063,41.8812
10953,0.196875,39.60424
11052,-5.807813,28.18804
11151,-8.810156,14.90118
11249,-3.494531,13.87393
11344,2.854688,21.97328
11441,-5.857031,9.132792
11533,-14.86406,-16.12743
11717,-5.463282,-19.78884
11811,-9.253124,-33.70996
11905,-8.613281,-44.22354
12002,1.722656,-35.15763
12105,9.253124,-18.297
12204,7.038281,-10.54501
12304,2.264062,-10.88764
12402,7.0875,0.9200163
12499,12.6,20.57003
12595,12.15703,35.76659
12690,5.069531,37.33115
12788,0.4429688,34.43741
12884,0.9351563,35.67323
12981,1.132031,37.22596
13078,-0.4921875,35.54804
13177,-4.872656,26.48349
13277,-10.48359,9.52166
13373,-12.25547,-7.286041
13469,-10.28672,-18.93271
13565,-1.821094,-15.41599
13659,0.5414063,-12.68524
13754,-6.644531,-25.71779
13848,-12.55078,-45.87401
13943,-5.266406,-47.84975
14041,9.154688,-26.62552
14144,10.92656,-11.13148
14243,5.5125,-7.647573
14340,1.525781,-8.657521
14438,9.105469,7.512675
14534,13.83047,28.31507
14631,9.942188,38.41603
14727,2.510156,36.37125
14825,0.0984375,34.49291
14921,1.082813,36.3512
15018,2.707031,40.8673
15115,0.0984375,39.35204
15216,-8.908594,22.25536
15315,-12.30469,4.208384
15411,-11.025,-8.921539
15507,-5.266406,-11.53899
15602,-2.411719,-12.30626
15696,-5.315625,-20.76909
15789,-10.33594,-37.31321
15883,-6.595312,-43.29426
15982,3.445313,-32.18441
16084,8.957813,-17.02155
16183,4.577344,-13.87168
16282,0.984375,-15.20803
16382,6.103125,-4.449318
16480,13.19062,16.95631
16576,13.14141,33.72307
16672,5.955469,36.30804
16768,1.722656,35.26992
16866,2.411719,38.50216
16962,2.903906,42.48011
17060,-0.196875,40.21165
17159,-6.103125,28.60405
17260,-10.2375,12.83317
17358,-11.41875,-2.434627
17455,-9.499218,-13.09225
17551,-5.709375,-17.58396
17645,-2.854688,-18.98597
17739,-5.020312,-26.57911
17834,-7.924219,-38.56057
17929,-4.33125,-41.69228
18028,5.660156,-27.9704
18131,8.613281,-14.86407
18231,5.5125,-9.811531
18330,2.854688,-8.11937
18429,8.367188,5.840488
18526,12.89531,25.21402
18623,10.92656,37.79568
18718,4.232813,38.45247
18816,3.15,41.32658
18913,3.494531,45.84389
19011,1.525781,46.47374
19114,-3.789844,38.29136
19219,-8.859375,23.83284
19319,-11.86172,6.809505
19417,-11.51719,-7.524307
19512,-11.025,-20.96275
19607,-5.069531,-23.26331
19702,-0.2460938,-19.94431
19797,-4.380468,-27.95052
19892,-7.678125,-39.98581
