Time,Error,Angle
275,-14.07656,-17.5957
821,-6.546094,-25.77832
916,-6.69375,-34.24493
1296,11.61563,-16.41531
1398,4.085156,-15.86327
1496,12.30469,4.605696
1773,-11.8125,-15.92201
1960,3.199219,-6.741619
2236,10.2375,7.935506
2330,-14.91328,-27.82684
2791,6.152344,-17.28253
2889,-2.214844,-25.36445
2988,12.69844,-0.1265182
3264,-9.05625,-16.52935
3808,-3.494531,-20.2643
3903,-6.644531,-30.66268
4280,14.42109,-8.849041
4380,-0.04921875,-18.01398
4478,2.264062,-14.34724
4756,10.13906,0.2844496
4850,-12.05859,-29.72944
