Time,Error,Angle
2281,11.22187,-41.83764
2384,11.17266,-27.87182
2482,6.546094,-22.71712
2578,0.7875,-25.88199
2673,-1.624219,-29.87267
2769,5.364843,-18.61059
2866,12.15703,1.461077
2965,10.18828,13.27069
3059,3.199219,12.44636
3153,2.165625,14.05655
3246,6.349218,24.77975
3340,9.253124,38.57925
3433,2.75625,37.69592
3527,-3.002344,29.6932
3622,-3.740625,24.187
3716,3.051562,32.64542
3808,3.9375,38.54762
3902,-1.132031,33.72857
3998,-10.58203,13.87729
4093,-12.15703,-2.901783
4187,-3.839063,-2.113371
4281,6.398438,13.42334
4375,0.4921875,10.57198
4467,-14.51953,-18.36606
4649,-5.217188,-21.91156
4742,-4.528125,-26.85937
4835,-4.675781,-32.75033
4929,-0.6890625,-30.87815
5024,2.953125,-24.52503
5122,3.839063,-18.93353
5218,1.919531,-17.76595
5314,0.7382813,-17.73279
5412,6.644531,-5.627895
5510,11.8125,12.87248
5605,11.27109,26.88268
5699,4.380468,27.62131
5793,-1.525781,21.24555
5886,2.510156,26.82938
5979,8.465626,41.7335
6071,7.382813,50.54781
6164,-0.9351563,43.63576
6262,-13.14141,18.63279
6359,-9.696095,8.160238
6452,8.810156,32.00716
6545,9.84375,46.04012
6638,-4.577344,30.357
7985,-15.50391,10.97712
8080,-13.04297,-5.326591
8173,4.675781,12.9265
8355,12.55078,32.01884
8539,1.476563,29.96729
8633,2.460938,33.41879
8727,1.821094,35.28915
8822,-0.6890625,32.6898
8918,-3.740625,25.80496
9014,-8.514843,11.80983
9110,-8.760937,0.432291
9204,-2.559375,1.457533
9296,0.9351563,5.382427
9390,-4.577344,-3.944165
9482,-11.71406,-23.87155
9574,-9.794531,-35.1912
9666,-3.592969,-35.26596
9762,3.248437,-26.26068
9860,3.199219,-21.92281
9956,-3.642188,-31.05627
10050,-5.660156,-39.85751
10148,7.333593,-22.1554
10248,11.96016,-3.576193
10346,7.038281,2.242618
10441,-1.870313,-6.382395
10535,0.8367188,-3.981953
10629,13.33828,21.46574
10812,2.313281,20.7007
10905,4.774219,28.10074
10997,6.69375,37.91175
11091,3.888281,40.94071
11184,-2.559375,33.12659
11281,-6.841406,21.36911
11375,-3.199219,19.62045
11468,6.103125,33.87661
11562,2.3625,34.77882
11655,-12.69844,8.405487
11840,-10.68047,-4.644517
11932,-11.27109,-19.12307
12024,-9.05625,-28.92336
12119,-1.427344,-25.40323
12213,3.002344,-18.22862
12308,-4.577344,-28.88714
12401,-11.07422,-47.57572
12495,-0.39375,-41.04446
12595,10.63125,-20.08906
12696,10.77891,-5.960655
12792,2.510156,-8.288034
12887,-3.54375,-17.25612
12983,2.854688,-9.6883
13077,14.22422,16.13113
13172,15.15937,36.34985
13265,6.349218,38.33676
13359,-5.217188,23.40989
13455,-2.953125,20.59958
13548,7.0875,36.56051
13641,9.942188,51.52733
13734,0.196875,45.21656
13829,-11.96016,21.57851
13927,-11.71406,6.44136
14023,5.020312,23.94699
14117,3.54375,28.23945
14211,-9.351563,7.771986
14394,-12.50156,-9.375477
14486,-13.48594,-27.0433
14578,-6.792188,-30.91045
14673,1.525781,-22.93162
14769,1.476563,-20.65429
14863,-5.955469,-33.11823
14957,-8.071875,-45.05289
15052,3.740625,-32.41112
15153,11.41875,-12.67322
15253,8.022655,-4.444136
15349,-0.4429688,-10.89261
15444,1.082813,-8.957346
15538,10.97578,11.53348
15724,6.595312,18.46775
15818,9.105469,31.47072
15911,8.367188,41.54559
16004,2.608594,40.78328
16098,-5.364843,28.34521
16197,-6.250781,19.51596
16290,3.051562,29.63774
16383,8.416407,44.41736
16477,-1.821094,35.44476
16571,-14.61797,7.954266
16665,-14.12578,-10.08451
16759,-2.214844,-4.705283
16854,3.346875,3.932689
16947,-4.823438,-7.358348
17039,-14.71641,-33.10075
17131,-11.17266,-45.1698
17226,3.051562,-31.53783
17324,7.825781,-17.82716
17420,-0.5414063,-23.78643
17515,-9.794531,-42.79471
17609,-3.100781,-42.60305
17709,12.74766,-16.09249
17810,13.92891,2.836029
17908,7.382813,7.813772
18002,0.2953125,3.03564
18097,1.722656,5.761558
18191,9.991405,23.97249
18284,13.63359,43.99082
18377,2.657813,39.86374
18472,-7.530469,22.94797
18568,0.6398437,28.67494
18661,11.46797,50.90606
18753,4.183594,51.70725
18848,-10.68047,27.80598
18945,-14.32266,6.704098
19040,-10.2375,-3.562538
19134,5.315625,14.06534
19228,10.58203,31.76582
19321,-11.66484,2.112251
19592,-13.48594,-15.63211
19774,-7.0875,-22.1708
19866,-9.499218,-35.54899
19959,-6.103125,-40.96368
20057,6.3,-24.64872
20159,9.646875,-9.848671
20256,4.429688,-7.583234
20352,-1.18125,-13.04998
20447,4.134375,-4.576376
20542,11.76328,15.62342
20643,12.10781,31.37525
20737,3.9375,30.6808
20831,-4.085156,19.62798
20925,-0.39375,21.18594
21018,9.892969,40.91911
21110,11.56641,57.13551
21203,0.1476563,49.61768
21299,-14.81484,20.33093
21395,-11.96016,6.468197
21488,1.96875,18.77007
21581,9.203907,36.0672
21674,-0.6890625,28.80305
23041,-15.20859,9.792307
23137,-12.55078,-5.89617
23229,8.514843,19.35343
23863,7.924219,29.37554
23956,5.217188,34.02929
24050,-5.807813,19.12937
24145,-13.53516,-3.633842
24241,-8.613281,-11.53366
24334,1.082813,-3.231302
24427,1.771875,0.009034634
24520,-10.08984,-20.74687
24613,-14.42109,-42.45472
24705,-3.740625,-40.01528
24802,6.989062,-23.58348
24903,6.103125,-15.96177
