Time,Error,Angle
102,-13.87969,40.16632
205,-13.14141,23.73957
306,-4.971094,22.77472
399,6.890625,40.1126
491,4.774219,45.30064
585,-3.592969,35.004
684,-10.38516,17.09935
778,-1.328906,21.27161
871,14.9625,51.73034
1055,-6.644531,36.07102
1156,-11.32031,18.3796
1251,-0.6890625,24.47266
1345,9.892969,44.72419
1437,5.463282,49.10347
1534,-10.87734,24.31629
1632,-13.78125,4.356642
1729,-2.953125,7.679673
1822,5.758594,21.53712
1915,5.020312,27.82539
2009,-11.07422,2.933775
2103,-14.9625,-19.33622
2196,-7.038281,-22.92089
2292,11.56641,4.463646
2389,11.46797,19.71303
2481,-11.41875,-10.35706
2754,-5.90625,-16.81055
2846,-7.136719,-26.51916
2938,-4.921875,-31.18317
3032,-0.4921875,-28.641
3127,2.707031,-22.86132
3222,-1.18125,-26.7963
3317,-6.546094,-38.85408
3411,-4.183594,-42.76403
3508,5.463282,-29.46271
3609,8.317968,-16.73718
3706,-1.624219,-25.22174
3800,-9.400782,-42.81554
3894,1.033594,-34.81577
3993,11.56641,-13.03382
4093,8.810156,-3.268424
4188,-2.165625,-13.53419
4282,-6.349218,-24.93295
4376,2.165625,-16.59498
4473,13.63359,8.522335
4570,10.77891,20.70433
4664,-3.199219,7.101885
4759,-9.400782,-9.607738
4852,2.3625,1.110715
5035,13.53516,22.47212
5129,13.87969,40.40501
5222,2.805469,36.2794
5318,-7.530469,19.32236
5413,-2.510156,19.01484
5505,10.33594,41.06481
5598,10.77891,55.56524
5692,-1.96875,44.43242
5789,-13.97812,18.20943
5886,-9.892969,7.904319
5979,14.02734,42.02207
6164,-4.774219,29.88554
6259,-5.315625,22.40424
6355,1.18125,28.2333
6448,3.199219,33.97457
6541,0.2460938,32.39067
6638,-9.105469,14.62854
6735,-11.27109,-1.388401
6828,1.132031,8.474484
6922,11.17266,30.06795
7014,3.9375,30.57449
7107,-15.25781,-2.155052
7291,-8.268749,-10.49812
7384,-2.903906,-10.25116
7477,-0.196875,-8.314723
7569,-2.460938,-12.78867
7663,-4.528125,-19.97717
7756,-5.315625,-27.29486
7849,-2.264062,-28.06216
7943,1.722656,-23.01073
8038,0.984375,-22.05821
8132,-5.11875,-32.62759
8226,-7.875,-44.71117
8320,1.96875,-35.73068
8418,8.071875,-21.07615
8516,0.984375,-24.14458
8611,-7.924219,-40.50165
8705,-3.839063,-42.99934
8804,7.776563,-25.57742
8907,11.07422,-9.077988
9003,1.870313,-12.67708
9098,-7.973438,-29.86557
9191,-2.805469,-30.35838
9286,10.68047,-7.69631
9385,12.89531,10.58537
9481,2.953125,7.747734
9575,-10.33594,-14.71194
9669,-3.691406,-15.5089
9762,13.68281,13.94208
9945,3.740625,15.48787
10039,2.510156,17.5257
10132,4.725,24.86673
10225,4.971094,31.36432
10319,0.5414063,28.99207
10413,0.04921875,28.47771
10508,1.328906,30.96438
10602,2.067187,34.11412
10697,2.657813,37.88604
10791,0.4429688,36.96866
10886,-2.854688,31.02144
10982,-3.15,26.70663
11076,2.067187,32.84307
11170,2.214844,35.99027
11264,-0.984375,32.57144
11360,-5.758594,21.99096
11455,-6.496875,13.1065
11548,1.771875,20.99438
11640,8.121094,35.9952
11733,1.771875,34.19001
11828,-13.97812,5.590286
11923,-15.11016,-14.92709
12016,-7.924219,-19.97839
12110,12.45234,9.816046
12205,12.45234,26.48125
12299,-12.05859,-5.500187
12481,-5.610937,-10.8462
12573,-6.250781,-18.97187
12666,-4.429688,-23.25853
12759,-0.39375,-20.85379
12853,-0.39375,-21.11988
12948,-2.3625,-25.39406
13042,-3.396094,-30.45191
13136,-3.346875,-34.66515
13231,-0.0,-32.39193
13326,1.476563,-29.36662
13423,2.559375,-25.36346
13518,-1.230469,-29.41609
13614,-4.282031,-37.03771
