Time,Error,Angle
98,-14.91328,30.18198
199,-14.42109,12.15561
298,-4.774219,12.44289
391,3.986719,24.05951
484,4.872656,31.28745
578,-2.903906,22.45824
673,-5.610937,13.20222
767,0.8859375,18.63757
860,8.465626,34.76129
953,7.924219,44.7286
1047,-3.297656,32.90689
1142,-11.51719,12.38639
1237,0.5414063,20.78834
1330,10.48359,41.47031
1423,6.792188,47.99836
1517,-5.364843,32.87519
1615,-11.56641,13.68803
1710,0.7875,22.70618
1803,12.69844,47.55999
1895,6.250781,51.61081
1992,-10.38516,27.13952
2091,-9.351563,15.27167
2187,5.364843,31.87336
2280,10.18828,48.73309
2373,0.2953125,42.56795
2469,-12.74766,17.3507
2566,-9.892969,6.184581
2659,8.957813,30.41769
2753,11.71406,47.99885
2846,0.6890625,41.52022
2942,-14.07656,13.3182
3038,-11.96016,-1.018806
3131,8.613281,24.06091
3225,12.00937,42.52138
3318,-0.3445313,33.79686
3412,-14.22422,5.938873
3508,-11.76328,-7.870981
3600,5.857031,11.738
3694,13.04297,33.9927
3788,-0.0984375,25.31177
3882,-13.68281,-1.689081
3977,-12.45234,-17.1822
4070,4.478907,0.04637527
4165,13.78125,24.56726
4260,0.3445313,16.50867
4354,-14.56875,-12.6037
4448,-11.76328,-26.22188
4542,6.201563,-6.051249
4638,12.64922,15.05243
4733,-1.96875,3.061913
4826,-15.25781,-25.97559
4919,-11.66484,-38.85092
5013,7.875,-15.59037
5112,12.6,4.288795
5207,-2.510156,-8.803003
5299,-14.42109,-35.87254
5392,-8.760937,-43.57986
5488,8.071875,-22.01768
5588,10.43438,-6.574984
5684,-2.067187,-17.39321
5777,-13.33828,-42.53002
5869,-5.11875,-43.89652
5966,7.432032,-25.85441
6068,6.989062,-16.76346
6164,-4.380468,-29.86758
6258,-12.55078,-51.70059
6352,-3.002344,-49.31735
6453,10.04062,-28.01923
6557,9.696095,-15.49278
6653,-5.90625,-33.45207
6746,-13.48594,-56.39861
6840,-0.7875,-49.22007
6939,9.597656,-29.74908
7038,7.678125,-20.85162
7134,-3.15,-32.13385
7227,-10.53281,-50.94185
7321,-1.722656,-47.43128
7421,9.745312,-27.46837
7523,9.203907,-15.74301
7619,-3.9375,-29.49678
7713,-11.56641,-49.88181
