Time,Error,Angle
94,-13.97812,-17.47266
191,-9.991405,-29.96191
289,13.87969,3.157913
928,14.12578,21.03574
1026,6.595312,24.32152
1121,-14.56875,-8.519806
1304,-13.14141,-25.03303
1399,-11.17266,-37.65393
1495,0.9351563,-28.30789
1593,11.51719,-6.306362
1786,15.11016,14.1418
2335,10.43438,26.62041
2435,-0.0,19.81314
3066,-13.92891,0.7887478
3168,-7.333593,-4.333156
3891,12.55078,13.30625
3988,3.642188,12.06545
4081,-15.40547,-20.85492
4264,-11.96016,-35.11155
4361,0.0984375,-26.89362
4463,11.025,-5.570597
4656,14.76563,14.48806
5112,15.01172,33.31717
5210,9.00703,40.61386
5307,-12.45234,10.29546
5489,-15.35625,-10.57915
5674,-10.04062,-21.26113
5770,-7.0875,-27.98896
5868,4.971094,-13.72459
6063,14.81484,8.523092
6608,14.51953,26.68876
6706,7.875,32.14408
6801,-14.9625,-2.580849
7073,-12.55078,-18.12172
7167,-12.30469,-33.32211
7263,1.771875,-21.70543
7364,12.6,1.687778
7553,14.9625,21.54522
8007,13.23984,37.85388
8104,6.841406,42.12001
8929,-14.81484,21.74057
9030,-9.154688,13.76583
9126,13.68281,46.66444
9309,4.183594,49.07
9411,-4.134375,38.40238
9513,-10.77891,20.30077
9607,-13.83047,0.5802479
9702,-14.07656,-17.37078
9797,-13.43672,-33.75512
9892,-3.642188,-31.6812
9992,3.986719,-21.21193
10095,6.644531,-10.85458
10196,7.0875,-1.556746
10298,10.48359,13.74146
10396,13.3875,32.53955
10494,12.6,47.92081
10590,8.6625,56.06939
10687,1.919531,53.76852
10792,-1.082813,50.24255
10901,-7.776563,36.33196
10998,-12.79688,16.66997
11090,-15.30703,-4.493214
11273,-13.87969,-21.40417
11367,-12.45234,-35.9554
11464,-0.8367188,-29.10228
11568,10.28672,-8.727661
11671,11.76328,7.447014
11770,12.94453,24.51018
11870,13.43672,41.68673
11967,10.04062,51.97989
12064,9.745312,63.79341
12161,0.7382813,58.68124
12259,-10.82813,37.12728
12359,-10.68047,23.27672
12457,-11.76328,7.819724
12550,-15.20859,-13.6392
12643,-15.60234,-33.60812
12738,-11.07422,-44.40828
12836,4.33125,-28.68551
12937,9.302343,-13.111
13039,8.514843,-2.683162
13140,10.53281,11.77541
13240,14.02734,31.67073
13337,13.48594,48.3478
13434,8.071875,54.77828
13531,4.183594,57.13709
13637,-3.002344,48.76965
13747,-7.284375,36.81177
13845,-11.71406,19.0579
13938,-15.35625,-2.935715
14031,-15.30703,-22.25412
14126,-14.175,-39.21007
14222,-0.2460938,-30.08026
