Time,Error,Angle
97,11.46797,14.33496
282,12.40313,29.83887
380,-10.63125,1.187372
656,-4.823438,-3.844246
1021,1.18125,-1.219384
1114,-14.91328,-31.0405
1207,-13.97812,-48.74367
1777,8.071875,-35.98177
2343,6.939844,-27.4078
2446,-0.0,-31.79318
2546,12.99375,-7.449074
2916,-2.411719,-13.15344
3009,-15.25781,-41.25524
3105,-10.28672,-51.43174
3675,7.48125,-39.89127
4246,5.315625,-33.47809
4349,5.758594,-26.01459
4810,5.11875,-19.70697
4909,-6.201563,-34.9444
5009,0.3445313,-30.8549
5472,5.364843,-23.33912
5573,0.590625,-25.58154
5674,12.30469,-2.892668
5948,15.25781,17.11901
6047,-6.053906,-4.457212
