Time,Error,Angle
97,-5.561719,-29.49712
197,-0.0,-29.49712
295,11.12344,-8.312929
1204,12.00937,6.829599
1304,3.691406,6.060113
1398,-14.51953,-25.01238
1582,-2.264062,-23.90907
1677,-2.067187,-26.05518
1774,-1.476563,-27.46967
1874,4.774219,-17.4171
1975,12.99375,4.404072
2073,12.79688,20.6891
2170,8.908594,29.25352
2265,6.989062,36.5005
2360,7.432032,45.97659
2455,3.691406,48.06202
2552,-7.136719,31.72773
2652,-10.68047,15.50632
2752,-5.069531,12.56449
2849,-1.427344,13.49267
2945,-10.04062,-4.650247
3038,-15.11016,-27.45494
3133,-11.86172,-40.35756
3227,-0.7382813,-33.56894
3328,6.349218,-20.51584
3428,4.035937,-16.5937
3527,1.082813,-17.25644
3628,3.789844,-10.92725
3727,11.51719,8.644936
3824,15.45469,30.98177
3921,12.89531,45.60861
4016,4.33125,45.14182
4112,-0.3445313,41.0776
4213,-2.903906,35.53807
4314,-4.478907,28.7881
4415,-3.051562,25.79898
4514,-7.825781,12.95361
4608,-14.76563,-10.55667
4792,-9.597656,-20.88734
4885,-10.68047,-34.85736
4980,-5.610937,-38.43884
5078,3.54375,-27.70343
5180,9.745312,-11.15717
5282,10.38516,2.554118
5383,8.6625,12.32882
5480,7.875,21.56749
5576,8.71172,32.97423
5671,8.6625,43.8088
5767,5.315625,48.17831
5863,-2.559375,39.55449
5963,-10.72969,20.44488
6065,-9.154688,9.597265
6161,0.4921875,16.69151
6259,-9.302343,-0.9775085
6352,-15.35625,-24.84653
6445,-14.71641,-43.16753
6540,-0.8859375,-34.86599
6639,6.69375,-20.83813
6740,3.051562,-18.95018
6840,-1.624219,-24.18391
6939,2.805469,-18.01635
7036,14.81484,8.713411
7220,15.01172,27.88812
7315,14.86406,46.3995
7410,6.644531,49.11147
7509,-2.067187,40.40981
7612,-5.266406,31.34741
7714,-6.152344,22.92025
7816,-6.496875,14.524
7910,-13.43672,-7.011498
8004,-14.12578,-25.52008
8097,-10.04062,-35.33261
8193,-0.3445313,-28.95935
8291,4.035937,-20.50951
8390,-0.0,-22.87544
8489,-3.15,-29.07165
8589,4.33125,-18.97322
8778,15.35625,4.329708
9411,14.51953,22.43874
9507,9.203907,30.36125
9602,-12.25547,0.175005
9874,-14.91328,-19.55374
10057,-5.463282,-22.98184
10153,-2.75625,-24.34403
10253,6.644531,-9.789331
10352,13.04297,11.16686
10450,13.83047,29.32462
10546,11.32031,41.85136
10641,3.54375,40.86835
10737,-0.7382813,36.64786
10835,-0.2460938,36.41848
10932,0.8859375,38.28682
11032,1.328906,40.28811
11134,-8.564062,23.30971
11229,-14.51953,0.6263523
11323,-15.11016,-19.02824
11416,-13.68281,-35.21165
11510,-7.530469,-40.28643
11609,4.183594,-27.06773
11709,6.939844,-16.03867
11809,1.132031,-18.21589
11909,-1.132031,-21.37995
12008,7.038281,-7.365048
12825,13.73203,10.4183
12922,7.235156,15.21658
13017,-14.71641,-18.58134
13200,-11.71406,-32.7652
13295,-6.841406,-37.96863
13393,1.427344,-30.52373
13496,9.302343,-13.47284
13596,10.08984,0.04146099
13697,8.465626,9.636835
13794,9.400782,21.93151
13890,9.05625,33.06145
13985,8.465626,43.22721
14081,5.315625,47.69791
14177,-1.624219,40.82829
14279,-5.020312,32.0407
14382,-7.038281,21.78959
14483,-8.564062,10.00802
14579,-12.20625,-7.809288
14673,-11.96016,-22.78999
14768,-8.071875,-30.21268
14862,-2.264062,-28.88794
14959,0.8367188,-25.43608
15058,1.18125,-23.55503
15157,0.2460938,-23.82935
15258,7.284375,-10.28536
15357,14.02734,11.99207
15454,13.53516,28.94269
15550,7.382813,34.03095
15645,2.903906,34.29566
15741,4.33125,40.41323
15836,5.11875,47.40145
15932,-0.5414063,42.95857
16030,-12.64922,18.86529
16126,-13.43672,0.9162674
16225,-4.921875,0.3025727
16321,-9.991405,-15.17628
16414,-13.58438,-34.85687
16508,-9.351563,-43.85099
16606,3.740625,-30.23922
