Time,Error,Angle
96,11.96016,14.95019
281,9.154688,26.39355
556,-7.48125,12.94098
652,11.96016,40.79222
748,1.082813,35.80902
1027,-13.04297,15.88377
1124,0.7382813,25.63908
1222,-10.77891,5.1539
1406,-13.28906,-12.65721
1682,10.2375,5.905704
1777,-10.53281,-21.07032
1872,-9.05625,-32.45351
2247,0.5414063,-30.02373
2347,11.8125,-7.820688
2625,-9.05625,-24.04252
2719,-14.12578,-45.56284
3194,8.514843,-31.69473
3571,5.561719,-25.21291
3671,5.709375,-18.01568
4040,-10.48359,-34.12589
4139,0.984375,-25.54495
4513,-4.577344,-32.13276
