Time,Error,Angle
103,-13.83047,9.922773
207,-13.09219,7.304336
310,-10.77891,5.251865
409,-0.8859375,5.549272
509,2.165625,6.157094
610,4.085156,7.07497
711,5.709375,8.299503
810,6.595312,9.66569
910,7.235156,11.14614
1009,7.038281,12.54708
1108,5.857031,13.66328
1209,1.771875,13.82616
1312,-0.4429688,13.62403
1415,-2.214844,13.09227
1517,-4.380468,12.11222
1621,-7.579687,10.44466
1725,-10.28672,8.256813
1831,-12.15703,5.733424
1934,-12.35391,3.247175
2035,-13.14141,0.5819645
2136,-13.73203,-2.194518
2234,-14.27344,-5.076753
2331,-14.37188,-7.957906
2426,-14.9625,-10.97961
2520,-15.30703,-14.06019
2614,-15.06094,-17.06181
2708,-14.86406,-20.02404
2801,-14.86406,-22.99603
2895,-13.97812,-25.74814
2990,-13.23984,-28.35651
3084,-12.94453,-30.92801
3178,-12.74766,-33.46653
3272,-12.25547,-35.89262
3367,-11.8125,-38.23145
3463,-10.72969,-40.32349
3559,-9.942188,-42.26993
3657,-7.678125,-43.69556
3757,-4.725,-44.49569
3856,-3.051562,-45.01781
3958,-1.673438,-45.28282
4059,0.2953125,-45.12919
4161,2.657813,-44.48231
4263,5.020312,-43.36248
4365,8.022655,-41.61304
4468,10.58203,-39.37204
4571,11.8125,-36.94457
4671,12.20625,-34.4803
4772,12.25547,-32.02526
4872,12.64922,-29.47689
4971,13.09219,-26.83637
5068,13.53516,-24.10678
5165,14.07656,-21.26396
5262,14.12578,-18.43438
5359,13.92891,-15.65772
5455,13.92891,-12.87263
5551,14.175,-10.02574
5647,13.63359,-7.324148
5742,13.53516,-4.623775
5837,13.28906,-1.97855
5932,12.6,0.507014
6028,12.05859,2.890057
6125,11.12344,5.068021
6222,9.253124,6.82688
6322,7.727344,8.294194
6425,4.232813,8.97768
6525,1.132031,9.048455
6623,-2.608594,8.338533
6724,-6.004687,6.969548
6826,-9.892969,4.801985
6930,-12.69844,2.122324
7031,-13.09219,-0.524148
7131,-13.68281,-3.290406
7229,-13.92891,-6.090031
7326,-14.07656,-8.913427
7422,-14.47031,-11.82705
7516,-14.81484,-14.80826
7610,-14.56875,-17.71136
7704,-14.27344,-20.55074
7798,-14.61797,-23.49003
7892,-13.97812,-26.25551
7986,-13.09219,-28.82814
8081,-12.50156,-31.29623
8176,-12.74766,-33.85532
8271,-12.05859,-36.23431
8367,-11.46797,-38.49699
8465,-10.97578,-40.6666
8561,-9.351563,-42.4576
8659,-7.727344,-43.92047
8760,-4.921875,-44.76883
8861,-2.805469,-45.22287
8960,-1.771875,-45.52148
9062,-0.04921875,-45.4482
9163,3.100781,-44.67742
9265,5.90625,-43.3577
9369,8.367188,-41.56344
9473,10.72969,-39.30541
9575,11.17266,-37.04262
9677,12.05859,-34.58818
9777,12.30469,-32.11283
9878,12.64922,-29.56597
9976,13.23984,-26.88885
10074,13.48594,-24.17786
10171,13.87969,-21.38212
10268,14.32266,-18.49499
10365,13.92891,-15.72625
10461,14.175,-12.88082
10557,14.42109,-9.983965
10653,13.78125,-7.257812
10748,13.63359,-4.540589
10843,13.23984,-1.912286
10939,12.69844,0.5995893
11034,11.96016,2.953983
11130,11.27109,5.172179
11229,9.154688,6.9015
11329,7.136719,8.226949
11428,3.15,8.662999
11529,1.082813,8.770535
11628,-2.411719,8.116718
11728,-5.266406,6.919914
11830,-9.696095,4.768881
11935,-12.50156,2.128222
12037,-13.04297,-0.5151482
12135,-13.48594,-3.23585
12232,-13.92891,-6.044301
12328,-14.27344,-8.917294
12424,-14.56875,-11.8468
12519,-14.9625,-14.85964
12614,-14.47031,-17.73137
12708,-14.61797,-20.66047
12802,-14.56875,-23.57223
12897,-13.19062,-26.14328
12991,-13.28906,-28.80068
13085,-13.14141,-31.42169
13179,-12.89531,-33.98811
13274,-12.05859,-36.35822
13369,-11.66484,-38.66907
13466,-11.025,-40.8416
13562,-9.646875,-42.70286
13660,-7.825781,-44.1761
13760,-4.085156,-44.81311
13861,-3.002344,-45.35132
13963,-1.230469,-45.51155
14064,0.0984375,-45.42522
14166,2.903906,-44.71205
14268,6.053906,-43.34845
14372,8.6625,-41.48745
14476,10.82813,-39.21691
14580,10.77891,-37.05582
14681,12.05859,-34.58553
14781,12.6,-32.03586
14881,12.64922,-29.50155
14979,13.23984,-26.82564
15076,13.63359,-24.07805
15173,14.02734,-21.25224
15270,14.27344,-18.38428
15367,13.92891,-15.61406
15464,14.12578,-12.7807
15559,14.22422,-9.930498
15655,13.92891,-7.158644
15750,13.53516,-4.471811
15845,13.19062,-1.851979
15940,12.69844,0.6626358
16036,12.05859,3.041344
16132,11.22187,5.242949
16229,8.908594,6.912295
16329,6.644531,8.128059
16430,2.657813,8.46664
16531,0.9351563,8.560525
16634,-0.4921875,8.391088
16736,-7.875,6.475238
16839,-10.82813,4.1535
16943,-12.55078,1.554521
17044,-13.3875,-1.167863
17144,-13.68281,-3.921411
17241,-13.97812,-6.732247
17337,-14.175,-9.577881
17433,-14.56875,-12.51157
17527,-14.66719,-15.4514
17622,-14.32266,-18.29969
17716,-14.175,-21.12618
17810,-14.12578,-23.94826
17904,-13.19062,-26.54073
17999,-12.84609,-29.08949
18093,-12.69844,-31.62034
18187,-12.79688,-34.18381
18282,-12.30469,-36.62116
