Time,Error,Angle
102,-13.48594,14.73165
205,-11.07422,12.5168
305,-6.792188,11.35669
405,0.4921875,11.80711
506,4.478907,12.91348
606,5.955469,14.18849
705,6.398438,15.49487
805,5.660156,16.59438
905,4.085156,17.33676
1004,-1.033594,16.88289
1104,-6.546094,15.30265
1206,-10.82813,12.9227
1309,-13.04297,10.19893
1409,-14.02734,7.339381
1507,-15.06094,4.274358
1601,-15.50391,1.14773
3133,-14.42109,-1.736489
3230,-13.78125,-4.492739
3326,-9.253124,-6.125577
3517,7.678125,-4.155743
3615,10.38516,-1.91836
3712,12.25547,0.634964
3809,12.64922,3.191317
3903,13.04297,5.821081
3998,12.40313,8.272269
4094,11.41875,10.50594
4190,9.942188,12.42024
4288,7.333593,13.75829
4387,1.870313,13.86489
4487,-3.986719,12.77656
4587,-9.450001,10.61209
4689,-12.99375,7.832332
4787,-14.37188,4.879331
4883,-14.61797,1.938052
4976,-15.60234,-1.232563
6416,-14.81484,-4.195532
6513,-13.92891,-6.981313
6609,-9.646875,-8.702737
6799,8.219532,-6.599203
6897,10.87734,-4.265291
6995,12.69844,-1.625887
7091,12.94453,0.9823027
7186,13.04297,3.597107
7283,12.79688,6.145121
7378,11.8125,8.458939
7474,10.48359,10.48802
7570,8.760937,12.15301
7668,6.742969,13.39983
7767,0.7382813,13.25921
7867,-6.890625,11.50651
7969,-11.46797,8.977665
8070,-13.73203,6.110181
8169,-14.76563,3.09973
8264,-15.01172,0.0810039
9796,-14.61797,-2.84259
9894,-13.83047,-5.608684
9989,-8.022655,-6.931167
10083,4.282031,-5.4554
10181,8.268749,-3.564772
10279,11.17266,-1.175419
10376,12.40313,1.375562
10471,12.69844,3.934838
10567,12.64922,6.463806
10662,11.86172,8.798206
10759,10.18828,10.75247
10857,8.613281,12.39454
10955,7.48125,13.83188
11055,2.608594,14.12143
11154,-3.346875,13.15638
11254,-8.908594,11.09784
11356,-12.79688,8.341623
11455,-14.47031,5.35381
11551,-14.71641,2.391516
11644,-15.65156,-0.7866089
13085,-14.9625,-3.779109
13182,-14.02734,-6.584578
13279,-9.892969,-8.366217
13470,7.628906,-6.389952
13568,10.53281,-4.112525
13665,12.45234,-1.517659
13761,12.84609,1.078489
13856,12.99375,3.686402
13951,12.79688,6.236838
14046,11.8125,8.550842
14142,10.43438,10.56839
14239,7.875,12.01621
14338,6.989062,13.36314
14437,0.04921875,13.04169
14536,-6.939844,11.30235
14637,-11.56641,8.753257
14739,-13.73203,5.890249
14837,-14.76563,2.880131
14932,-15.35625,-0.2242069
16465,-14.51953,-3.128113
16563,-13.73203,-5.874519
16657,-8.6625,-7.360825
16753,4.872656,-5.709949
16851,8.416407,-3.808647
16950,11.46797,-1.35618
17046,12.50156,1.206006
17142,12.64922,3.747689
17237,12.79688,6.315149
17332,11.91094,8.655346
17428,10.58203,10.70397
17526,8.317968,12.25564
17623,7.875,13.80133
17721,2.165625,13.96024
17821,-6.939844,12.1344
17922,-10.33594,9.879393
18024,-13.33828,7.060243
18124,-14.07656,4.19957
18220,-14.56875,1.258675
18313,-15.65156,-1.927404
19755,-14.47031,-4.821466
19852,-13.87969,-7.597404
19947,-9.351563,-9.247815
20042,-0.8367188,-8.980429
20140,8.810156,-6.735086
20239,11.32031,-4.316275
20335,12.84609,-1.662637
20431,12.99375,0.9496763
20527,12.94453,3.537241
20621,12.79688,6.089341
20716,12.10781,8.476878
20813,10.18828,10.41961
20909,8.564062,12.04785
21008,5.758594,13.06213
21109,0.04921875,12.79741
21209,-7.628906,10.89923
21311,-11.66484,8.353861
21412,-13.83047,5.47392
21510,-14.37188,2.565121
21605,-15.25781,-0.5321259
23042,-15.65156,-3.662438
23138,-14.42109,-6.546657
23236,-11.61563,-8.736135
23425,6.152344,-7.049206
23523,9.351563,-4.993645
23620,12.10781,-2.428106
23717,12.74766,0.1632209
23812,12.94453,2.764795
23907,12.84609,5.330213
24002,12.25547,7.75233
24099,11.17266,9.932564
24195,9.400782,11.72419
24293,7.48125,13.12322
24392,3.642188,13.66495
24491,-0.6398437,13.3209
24593,-10.38516,10.78923
24695,-13.28906,7.964951
24795,-14.32266,5.040278
24891,-14.71641,2.073456
26421,-15.60234,-1.047013
26519,-14.27344,-3.901701
26616,-11.61563,-6.099407
26805,6.250781,-4.388284
26902,9.745312,-2.239699
27000,11.66484,0.1988344
27097,12.50156,2.747471
27192,12.64922,5.288116
27288,12.15703,7.696455
27385,11.32031,9.918908
27480,9.745312,11.78903
27578,7.875,13.26895
27677,4.971094,14.12035
27777,-2.214844,13.33404
27877,-8.859375,11.22911
27979,-12.6,8.516668
28081,-13.92891,5.655849
28179,-14.175,2.803601
28274,-15.25781,-0.3018796
29807,-14.37188,-3.176255
29904,-13.68281,-5.912817
29999,-7.776563,-7.178488
30094,4.872656,-5.573402
30192,9.00703,-3.529544
30291,11.56641,-1.077281
30387,12.40313,1.453742
30483,12.74766,4.023701
30578,12.6,6.538055
30673,11.86172,8.874458
30770,9.892969,10.75561
30867,8.121094,12.28803
30965,6.792188,13.57752
31064,1.673438,13.66779
31164,-4.921875,12.35691
31265,-10.48359,9.983664
31366,-13.48594,7.127041
31465,-14.56875,4.15081
31561,-14.76563,1.183433
