Time,Error,Angle
98,1.821094,14.80745
197,2.805469,15.36854
294,-7.973438,13.26521
393,-14.81484,9.944583
1051,-14.86406,6.967127
1244,6.841406,8.877975
1341,5.5125,9.958304
1532,-14.91328,6.464013
2278,3.199219,7.218573
2375,7.628906,8.966187
2472,6.004687,10.10657
2663,-15.45469,6.473915
3408,5.709375,7.750426
3505,7.825781,9.42768
3602,4.921875,10.28222
4348,-14.76563,7.197335
4540,6.939844,9.125513
4637,7.825781,10.77305
4734,1.230469,10.7112
4832,-13.78125,7.216467
5483,-14.71641,4.257196
5674,8.564062,6.557382
5770,8.367188,8.265975
5959,-14.66719,4.746227
6589,-14.56875,1.825935
6683,4.577344,3.679816
6777,10.63125,6.176191
6871,11.12344,8.453389
6965,4.725,9.088709
7059,-11.07422,6.066988
7702,-14.71641,3.085868
7797,2.854688,4.499016
7892,9.499218,6.790442
7986,9.646875,8.757254
8080,3.346875,9.117568
8174,-13.14141,5.65658
8806,-10.77891,3.50889
8900,2.903906,4.76796
8994,9.351563,7.007405
9088,9.892969,9.040822
9183,5.90625,10.03084
9280,-14.56875,6.127202
9915,-14.86406,3.139841
10009,2.460938,4.480509
10104,9.400782,6.759397
10198,9.892969,8.793248
10293,5.217188,9.611698
10388,-10.72969,6.673933
