Time,Error,Angle
100,-10.2375,11.77305
200,1.132031,11.99945
298,4.971094,13.17483
399,3.9375,13.92782
498,-4.626562,12.60332
598,-13.19062,9.539131
1443,-14.47031,6.633592
1543,-8.957813,5.096492
1641,6.496875,7.144263
1737,9.794531,9.32116
1834,8.71172,11.02845
1929,3.9375,11.58364
2026,-8.514843,9.263978
2120,-15.40547,5.800586
2845,-13.87969,3.030906
2941,0.6398437,3.857692
3038,8.957813,6.102812
3133,11.76328,8.62512
3228,11.71406,10.97865
3325,6.595312,12.05234
3420,-0.590625,11.56982
3519,-14.56875,7.969092
4251,-14.9625,4.966558
4348,-9.05625,3.438609
4444,6.841406,5.585706
4541,10.53281,7.929428
4637,11.51719,10.29836
4733,9.253124,12.0461
4828,0.04921875,11.60102
4925,-13.43672,8.230223
5660,-15.45469,5.118384
5758,-11.66484,2.961026
5855,4.478907,4.646707
5952,9.745312,6.906541
6047,11.32031,9.270144
6143,9.154688,11.00454
6239,1.476563,10.91952
6335,-11.025,8.090128
7149,-12.89531,5.493622
7244,-0.7875,5.91713
7341,9.499218,8.356203
7435,11.61563,10.82379
7532,11.22187,13.06028
7628,5.610937,13.91458
7728,-10.82813,10.96784
7827,-15.25781,7.648582
8568,-14.27344,4.797617
8761,6.447657,6.605433
8857,9.499218,8.689943
8955,9.05625,10.49409
9051,3.9375,11.03721
9147,-6.792188,9.144001
9244,-15.06094,5.69318
9968,-14.47031,2.798384
10062,-2.510156,2.882821
10159,6.989062,4.777625
10255,11.46797,7.324681
10351,11.76328,9.711269
10447,9.203907,11.43155
10542,0.6890625,11.14654
10640,-13.97812,7.627034
11370,-15.65156,4.477577
11469,-12.50156,2.121744
11565,5.11875,4.012367
11662,10.58203,6.454759
11757,11.76328,8.889977
11854,10.04062,10.82301
11950,2.510156,10.95711
12047,-10.48359,8.213492
12140,-15.65156,4.773172
12770,-15.45469,1.679911
12866,-11.61563,-0.4587467
12961,5.561719,1.493887
13057,11.91094,4.249363
13151,13.28906,7.003894
13246,12.74766,9.534608
13342,7.382813,10.75417
13438,-3.986719,9.384819
13535,-14.86406,5.85046
