Time,Error,Angle
101,-9.84375,8.465981
201,-0.3445313,8.397076
300,5.217188,9.700509
399,7.136719,11.23693
499,5.463282,12.26076
599,-1.427344,11.64805
699,-12.64922,8.57435
1734,-13.43672,5.887007
1835,-7.235156,4.439976
1935,5.167969,6.048013
2033,8.514843,7.952058
2132,7.776563,9.487819
2230,3.789844,10.05796
2328,-5.807813,8.424946
2426,-13.48594,5.333749
3329,-13.73203,2.58255
3424,-2.3625,2.661825
3521,6.201563,4.356276
3618,10.43438,6.676999
3713,11.41875,9.026628
3810,9.745312,10.90097
3909,3.9375,11.40879
4008,-7.136719,9.442947
4107,-14.22422,6.226717
5025,-13.33828,3.560651
5122,-0.984375,3.958076
5219,6.69375,5.703781
5316,9.991405,7.891819
5412,10.48359,10.02674
5509,8.071875,11.53017
5607,1.525781,11.5181
5706,-12.6,8.307695
6737,-12.10781,5.886133
6836,-0.196875,5.846758
6934,6.69375,7.513765
7030,9.84375,9.659146
7127,9.253124,11.49517
7226,4.33125,12.12806
7322,-6.004687,10.41705
7422,-14.42109,7.105428
8353,-14.02734,4.298434
8452,-6.201563,3.427294
8550,5.709375,5.153442
8647,9.450001,7.265938
8746,9.942188,9.294312
8844,8.121094,10.83559
8941,0.3445313,10.52775
9040,-10.18828,7.974503
9138,-15.06094,4.693658
9953,-14.9625,1.699158
10050,-8.613281,0.278816
10146,2.3625,1.307706
10243,8.760937,3.406888
10340,10.58203,5.636356
10437,10.28672,7.688204
10534,7.284375,9.001636
10631,-1.821094,8.192773
10729,-13.23984,4.977925
11647,-14.27344,2.112785
11745,-7.333593,0.9758754
11841,3.592969,2.245245
11937,9.597656,4.492587
12033,10.82813,6.743305
12130,9.696095,8.635496
12227,6.69375,9.827654
12324,-4.725,8.322231
12423,-13.48594,5.177977
13327,-13.78125,2.4162
13422,-2.116406,2.553534
13520,5.857031,4.147285
13617,10.2375,6.435484
13711,11.36953,8.78297
13808,9.597656,10.62367
13906,4.478907,11.27199
14004,-5.217188,9.747881
14103,-13.68281,6.57981
15018,-13.48594,3.879969
15114,-1.378125,4.180937
15211,7.038281,6.033253
15308,10.43438,8.315625
15404,10.97578,10.55218
15501,8.760937,12.20297
15599,1.328906,12.10701
15697,-12.79688,8.860377
15795,-15.40547,5.602908
