Time,Error,Angle
98,2.313281,12.94746
196,1.673438,13.28215
294,-11.27109,10.41709
952,-14.61797,7.461122
1049,-4.528125,7.033704
1144,4.725,8.4698
1337,-14.66719,5.075608
2084,5.955469,6.398427
2181,6.595312,7.757957
2373,-14.9625,4.225307
2927,-14.51953,1.3177
3023,4.134375,3.041479
3118,9.745312,5.335704
3212,8.564062,7.017829
3954,-9.105469,5.078448
4050,3.986719,6.490512
4147,8.170313,8.372847
4244,5.020312,9.245672
4340,-13.43672,5.660565
4895,-15.25781,2.580137
5084,8.416407,4.86022
5180,8.908594,6.711969
5370,-14.91328,3.130437
5913,-14.9625,0.1288402
6007,3.592969,1.756683
6101,11.17266,4.433888
6195,11.07422,6.678455
6381,-15.11016,2.982641
6922,-14.42109,0.09493732
7016,5.414063,2.150192
7110,11.17266,4.743023
7204,9.84375,6.674569
7390,-15.25781,2.97103
7930,-10.87734,0.8260086
8025,6.250781,2.918503
8118,10.87734,5.386602
8212,9.00703,7.118446
8398,-15.25781,3.43851
9037,6.398438,4.877839
9132,9.253124,6.879436
9227,6.841406,8.143279
